word,coordinations
s specials,"53.7446,-0.33525 53.41058,-2.97794 55.45862,-4.62849 "
doner hoagie,"55.45862,-4.62849 "
salami ham,"52.9536,-1.15047 52.40656,-1.51217 53.79648,-1.54785 54.77560,-1.58374 54.97328,-1.61396 52.48142,-1.89983 54.89228,-2.93206 54.89228,-2.93206 55.86515,-4.25763 "
large tikka,"52.9536,-1.15047 52.48142,-1.89983 "
from oil,"53.79391,-1.75206 "
are using,"52.40656,-1.51217 "
mac and,"54.97328,-1.61396 "
fried white,"52.20765,0.13200 "
chillies onions,"52.6386,-1.13169 53.79391,-1.75206 "
lovely food,"50.71936,-3.53271 51.62125,-3.94490 "
board for,"53.79648,-1.54785 52.05834,1.15472 "
bacon burger,"52.9536,-1.15047 52.9536,-1.15047 53.79648,-1.54785 53.00415,-2.18538 54.89228,-2.93206 54.89228,-2.93206 53.41058,-2.97794 55.95206,-3.19648 55.07216,-3.60218 52.63220,1.28925 "
faint pinkish,"51.51279,-0.09184 "
with both,"54.97328,-1.61396 "
customers a,"54.58333,-5.93333 "
x garlic,"52.6386,-1.13169 54.57309,-1.23258 57.14369,-2.09814 53.00415,-2.18538 54.89228,-2.93206 54.89228,-2.93206 "
browns battered,"54.58333,-5.93333 "
with bolognese,"54.57309,-1.23258 54.90465,-1.38222 53.79648,-1.54785 54.77560,-1.58374 54.97328,-1.61396 57.14369,-2.09814 54.89228,-2.93206 55.95206,-3.19648 55.86515,-4.25763 "
item ingredients,"54.97328,-1.61396 "
ok sauce,"53.79648,-1.54785 53.41058,-2.97794 53.41058,-2.97794 "
peas drnk,"51.48,-3.18 51.48,-3.18 "
gills burger,"54.97328,-1.61396 "
let us,"53.79648,-1.54785 54.97328,-1.61396 53.79391,-1.75206 51.48,-3.18 51.48,-3.18 54.58333,-5.93333 54.58333,-5.93333 "
credit and,"51.51279,-0.09184 "
abernethy dulse,"54.58333,-5.93333 "
customer service,"53.48095,-2.23743 53.48095,-2.23743 51.48,-3.18 50.37771,-4.14082 "
pounder mushroom,"52.9536,-1.15047 "
page for,"51.48,-3.18 55.95206,-3.19648 54.58333,-5.93333 "
baguette meal,"52.48142,-1.89983 54.58333,-5.93333 "
is easy,"53.79391,-1.75206 "
spirits ciroc,"55.95206,-3.19648 "
omelette dishes,"52.6386,-1.13169 53.41058,-2.97794 53.41058,-2.97794 "
oriental herbs,"52.9536,-1.15047 "
are oz,"54.58333,-5.93333 "
condition of,"53.79391,-1.75206 "
common ingredient,"54.89228,-2.93206 "
jalapeno sour,"55.86515,-4.25763 "
are of,"52.63220,1.28925 "
pickled baby,"52.6386,-1.13169 "
spicy soya,"52.6386,-1.13169 "
positioned for,"53.79391,-1.75206 "
hedges s,"55.95206,-3.19648 "
beans which,"53.79391,-1.75206 "
meal nuggets,"52.6386,-1.13169 "
tikka rezala,"56.46913,-2.97489 "
of their,"52.40656,-1.51217 "
and slightly,"54.77560,-1.58374 54.97328,-1.61396 "
who prefer,"53.79391,-1.75206 "
fri,"54.97328,-1.61396 53.48095,-2.23743 54.66411,-2.75257 52.05834,1.15472 "
wa hale,"53.48095,-2.23743 "
fresh baked,"53.79648,-1.54785 "
brilliant timekeeping,"50.71936,-3.53271 "
chips for,"54.90465,-1.38222 "
available monday,"54.77560,-1.58374 54.77560,-1.58374 51.45523,-2.59665 54.58333,-5.93333 "
fry,"56.46913,-2.97489 "
pepper pork,"53.41058,-2.97794 "
pizza halves,"54.77560,-1.58374 "
advise a,"51.51279,-0.09184 "
sauces garlic,"54.77560,-1.58374 55.95206,-3.19648 55.86515,-4.25763 "
ham chicken,"52.40656,-1.51217 54.77560,-1.58374 54.77560,-1.58374 54.97328,-1.61396 52.48142,-1.89983 53.00415,-2.18538 51.45523,-2.59665 56.46913,-2.97489 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.45862,-4.62849 54.58333,-5.93333 "
oz signature,"53.79391,-1.75206 "
family took,"50.15201,-5.06654 "
steak n,"51.48,-3.18 "
onions mustard,"53.41058,-2.97794 "
dominic helen,"50.15201,-5.06654 "
they use,"54.97328,-1.61396 "
moor offering,"53.79391,-1.75206 "
classic pizzas,"53.79648,-1.54785 "
ton char,"53.41058,-2.97794 "
cola lemonade,"53.38297,-1.4659 53.00415,-2.18538 "
house in,"53.48095,-2.23743 "
dressing and,"51.51279,-0.09184 54.58333,-5.93333 "
heinz baconnaise,"50.83333,0.13333 "
with sweet,"51.51279,-0.09184 54.97328,-1.61396 54.89228,-2.93206 56.46913,-2.97489 53.41058,-2.97794 53.41058,-2.97794 51.48,-3.18 55.95206,-3.19648 50.71936,-3.53271 55.86515,-4.25763 55.86515,-4.25763 "
chips we,"53.7446,-0.33525 53.38297,-1.4659 "
onions pimentos,"56.46913,-2.97489 "
always amazing,"53.38297,-1.4659 "
penryn high,"50.15201,-5.06654 "
devils pizza,"55.95206,-3.19648 "
spend over,"54.90465,-1.38222 "
very hot,"55.45862,-4.62849 52.20765,0.13200 "
veg curry,"54.66411,-2.75257 54.66411,-2.75257 "
oil they,"53.79391,-1.75206 "
g dj,"55.86515,-4.25763 "
cherries while,"51.51279,-0.09184 "
ingredient often,"54.89228,-2.93206 "
special thin,"52.6386,-1.13169 53.79648,-1.54785 53.79648,-1.54785 54.77560,-1.58374 "
rolls with,"52.6386,-1.13169 55.95206,-3.19648 55.95206,-3.19648 "
noodles chow,"54.89228,-2.93206 "
small fizzy,"50.15201,-5.06654 "
continues its,"55.95206,-3.19648 "
supper,"56.46913,-2.97489 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.07216,-3.60218 57.47908,-4.22398 54.58333,-5.93333 "
cream finished,"53.00415,-2.18538 "
pie comes,"55.86515,-4.25763 "
x burgers,"52.6386,-1.13169 "
smooth perlage,"51.51279,-0.09184 "
house vodka,"54.89228,-2.93206 "
required for,"53.48095,-2.23743 "
finger butties,"55.86515,-4.25763 "
x omg,"56.46913,-2.97489 "
horrible bits,"51.51279,-0.09184 "
add saveloy,"50.83333,0.13333 "
large pieces,"52.9536,-1.15047 "
firecracker sauce,"50.83333,0.13333 "
cooked in,"51.51279,-0.09184 53.7446,-0.33525 52.6386,-1.13169 52.6386,-1.13169 53.79648,-1.54785 54.97328,-1.61396 53.79391,-1.75206 53.00415,-2.18538 56.46913,-2.97489 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.86515,-4.25763 55.45862,-4.62849 50.15201,-5.06654 "
of nando,"55.86515,-4.25763 "
meaty and,"53.41058,-2.97794 "
ham,"52.6386,-1.13169 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 54.57309,-1.23258 54.90465,-1.38222 53.38297,-1.4659 52.40656,-1.51217 52.40656,-1.51217 52.40656,-1.51217 53.79648,-1.54785 53.79648,-1.54785 54.77560,-1.58374 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 52.48142,-1.89983 57.14369,-2.09814 53.00415,-2.18538 53.48095,-2.23743 51.45523,-2.59665 54.89228,-2.93206 54.89228,-2.93206 56.46913,-2.97489 56.46913,-2.97489 53.41058,-2.97794 53.41058,-2.97794 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 50.71936,-3.53271 55.07216,-3.60218 55.07216,-3.60218 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.45862,-4.62849 55.45862,-4.62849 52.20765,0.13200 50.83333,0.13333 "
doner cans,"55.07216,-3.60218 "
available after,"55.95206,-3.19648 "
small pop,"53.38297,-1.4659 53.79391,-1.75206 54.66411,-2.75257 "
store information,"54.90465,-1.38222 "
and prunes,"54.89228,-2.93206 "
allowed quantity,"50.83333,0.13333 "
baked bread,"53.79648,-1.54785 "
powder batter,"54.89228,-2.93206 "
wine cream,"53.7446,-0.33525 "
our pan,"53.7446,-0.33525 "
we always,"50.15201,-5.06654 "
people find,"50.15201,-5.06654 "
london as,"51.51279,-0.09184 "
are priced,"50.15201,-5.06654 "
